pseudo,idoption
quirfy29,1
smithjane,2
mikej09,3
lindawil,4
brown_55,5
susie88,6
furyjams,7
maryd8,8
m_mart,9
pattie23,10
david34mo,11
barbwhite,12
richeatay,13
karenanna,14
joseph56t,15
nancyj10,16
charlttc,17
lisa_lh,18
cmartinez,19
clarks,20
danl33,21
walkerem,22
phall92,23
angieall,24
keviny25,25
dhernz,26
markkings,27
mwright45,28
donaldlop,29
dorohills,30
kennysco,31
jadamsk,32
brianb7,33
georgem15,34
laurarobs,35
edp23,36
rebcam99,37
quirfy29,38
smithjane,39
mikej09,40
lindawil,41
brown_55,42
susie88,43
furyjams,44
maryd8,45
m_mart,46
pattie23,47
david34mo,48
barbwhite,49
richeatay,50
karenanna,51
joseph56t,52
nancyj10,53
charlttc,54
lisa_lh,55
cmartinez,56
clarks,57
danl33,58
walkerem,59
phall92,60
angieall,61
keviny25,62
dhernz,63
markkings,64
mwright45,65
donaldlop,66
dorohills,67
kennysco,68
jadamsk,69
brianb7,70
georgem15,71
laurarobs,72
edp23,73
rebcam99,74
quirfy29,75
smithjane,76
mikej09,77
lindawil,78
brown_55,79
susie88,80
